phrase,nlp,emotion,prediction
Il est triste de se dire que KH3 est le dernier Kingdom Hearts...,"['trist', 'dir', 'kh3', 'derni', 'kingdom', 'heart']",sadness,sadness
Aujourd'hui pour moi tout va mal ! ,"['aujourd', 'hui', 'tout', 'va', 'mal']",sadness,sadness
il fait beau,"['fait', 'beau']",joy,disgust
tu me parles plus je suis triste,"['parl', 'plus', 'trist']",sadness,joy
 j’espère être encore de ce monde pour te parler de mes prochaines peines et de mes soucis.,"['esper', 'etre', 'encor', 'mond', 'parl', 'prochain', 'pein', 'souc']",sadness,sadness
Maintenant nous allons tous mourir suite à la terrible épidémie.,"['mainten', 'allon', 'tous', 'mour', 'suit', 'a', 'terribl', 'epidem']",sadness,surprise
"Deux shorts d'ici en nomination aux Oscars2019 , mais on a pas gagnés... ","['deux', 'short', 'ici', 'nomin', 'oscars2019', 'a', 'pas', 'gagn']",sadness,fear
J'ai envie de pleurer,"['envi', 'pleur']",sadness,sadness
je pleure,['pleur'],sadness,sadness
nous perdons un grand Homme,"['perdon', 'grand', 'homm']",sadness,no_emotion
Les mots blessent vous savez ,"['le', 'mot', 'blessent', 'sav']",sadness,joy
C'est difficile d'aider quelqu'un à traverser des moments difficiles quand personne n'est là pour vous aider,"['difficil', 'aid', 'quelqu', 'a', 'travers', 'moment', 'difficil', 'quand', 'person', 'n', 'aid']",sadness,sadness
Toujours envie de poster des vidéos mais c'est difficile à cause de mon emploi du temps,"['toujour', 'envi', 'post', 'videos', 'difficil', 'a', 'caus', 'emploi', 'temp']",sadness,sadness
J'adore cet endroit,"['ador', 'cet', 'endroit']",joy,surprise
La croute est immonde,"['crout', 'immond']",disgust,disgust
la texture était juste horrible,"['textur', 'etait', 'just', 'horribl']",disgust,disgust
"Steve me l'a recommandé, je l'ai adoré","['stev', 'a', 'recommand', 'ador']",joy,surprise
La sélection sur le menu était super et les prix aussi,"['select', 'menu', 'etait', 'sup', 'le', 'prix', 'auss']",joy,disgust
Je suis en train de m'énerver,"['train', 'enerv']",anger,sadness
honnêtement c'était assez mauvais,"['honnet', 'etait', 'assez', 'mauv']",disgust,disgust
Les frites étaient bonnes aussi,"['le', 'frit', 'etaient', 'bon', 'auss']",joy,joy
Le service était rapide et bien,"['servic', 'etait', 'rapid', 'bien']",joy,surprise
A fuir,"['a', 'fuir']",disgust,disgust
Le caissier fait le contraire de ce que je lui racontais et j'ai tout de même fini à payer beaucoup trop cher,"['caissi', 'fait', 'contrair', 'racont', 'tout', 'mem', 'fin', 'a', 'pai', 'beaucoup', 'trop', 'cher']",disgust,disgust
J'étais dégouté j'étais sûr que c'était un cheveux,"['etais', 'degout', 'etais', 'etait', 'cheveux']",disgust,disgust
j'étais choqué car aucun panneau n'indiquait paiement uniquement par cash,"['etais', 'choqu', 'car', 'aucun', 'panneau', 'n', 'indiqu', 'pai', 'uniqu', 'cash']",surprise,surprise
Fortement recommandé,"['fort', 'recommand']",joy,no_emotion
"La nourriture, incroyable !","['nourritur', 'incroi']",joy,surprise
Je vais devoir faire attention en sortant,"['vais', 'devoir', 'fair', 'attent', 'sort']",fear,surprise
J'ai l'impression qu'une secte est à la manoeuvre ,"['impress', 'sect', 'a', 'manoeuvr']",fear,no_emotion
Si ils rajoutent Hanouna et Lalanne sur la photo je m’exile au Venezuela,"['si', 'il', 'rajoutent', 'hanoun', 'lalann', 'photo', 'exil', 'venezuel']",fear,surprise
Il s'est écroulé d'un coup j'ai cru qu'il allait y passer,"['ecroul', 'coup', 'cru', 'allait', 'pass']",fear,fear
Arrête je tremble encore.,"['arret', 'trembl', 'encor']",fear,surprise
Je stresse j'attends les résultats depuis hier,"['stress', 'attend', 'le', 'resultat', 'depuis', 'hi']",fear,disgust
Le service laisse à désirer,"['servic', 'laiss', 'a', 'desir']",disgust,sadness
C'est les pires sushis que j'ai jamais mangé,"['le', 'pir', 'sush', 'jam', 'mang']",disgust,no_emotion
Il est arrivé vraiment vite,"['arriv', 'vrai', 'vit']",surprise,joy
Bobby et Borel ont renversé la situation tout d'un coup,"['bobby', 'borel', 'renvers', 'situat', 'tout', 'coup']",surprise,fear
ah mais il devait venir finalement ?,"['ah', 'dev', 'ven', 'final']",surprise,surprise
Je ne comprends toujours pas comment c'est possible,"['ne', 'comprend', 'toujour', 'pas', 'comment', 'possibl']",surprise,surprise
Il a été agréablement surpris du cadeau,"['a', 'ete', 'agreabl', 'surpr', 'cadeau']",surprise,surprise
Il aurait du me le rendre il y a longtemps,"['rendr', 'a', 'longtemp']",anger,anger
Je suis furieux qu'il n'ait pas répondu à tout mes appels,"['furieux', 'n', 'pas', 'repondu', 'a', 'tout', 'appel']",anger,surprise
Mais qu'est ce qu'il raconte il n'y connait rien !,"['racont', 'n', 'con', 'rien']",anger,disgust
Arrête tout de suite,"['arret', 'tout', 'suit']",anger,surprise
si le le revois ça va mal se passer entre nous,"['si', 'revois', 'ca', 'va', 'mal', 'pass', 'entre']",anger,sadness
Ils commençait à sérieusement s'impatienter,"['il', 'commenc', 'a', 'serieux', 'impatient']",anger,anger
Elle commencait à l'exaspérer ,"['commenc', 'a', 'exasper']",anger,anger
Je me suis démené pour finir à temps mais il est si mauvais,"['demen', 'fin', 'a', 'temp', 'si', 'mauv']",anger,fear
Le burger est littéralement dégoûtant,"['burg', 'litteral', 'degout']",disgust,disgust
Le produit est arrivé abimé et en retard,"['produit', 'arriv', 'abim', 'retard']",anger,anger
"J'ai vu le film et j'ai trouvé que c'était un bel effort, un bon message pour les enfants","['vu', 'film', 'trouv', 'etait', 'bel', 'effort', 'bon', 'messag', 'le', 'enfant']",joy,joy
Même le talentueux Carrell n'a pas pu le sauver,"['mem', 'talentu', 'carrel', 'n', 'a', 'pas', 'pu', 'sauv']",disgust,fear
"Le film est un succès, malgré que, ou grâce à, son très faible budget","['film', 'succ', 'malgr', 'grac', 'a', 'tre', 'faibl', 'budget']",surprise,disgust
C'est un vrai classique,"['vrai', 'classiqu']",joy,joy
C'était d'un ennui !,"['etait', 'ennui']",disgust,disgust
Il n'a même pas été capable de faible le peu d'effort nécessaire,"['n', 'a', 'mem', 'pas', 'ete', 'capabl', 'faibl', 'peu', 'effort', 'necessair']",anger,disgust
Mon poisson rouge est mort,"['poisson', 'roug', 'mort']",sadness,surprise
Ca marche parfaitement,"['ca', 'march', 'parfait']",joy,no_emotion
J'ai du enlever mes oreillettes et parler au téléphone,"['enlev', 'oreillet', 'parl', 'telephon']",anger,sadness
Je n'ai pas été impressionné par la qualité de ce produit,"['n', 'pas', 'ete', 'impression', 'qualit', 'produit']",anger,surprise
J'ai des doutes sur la date d'arrivée du produit,"['dout', 'dat', 'arrive', 'produit']",fear,fear
Il risque de ne plus y avoir de places si nous nous y prenons trop tardivement,"['risqu', 'ne', 'plus', 'avoir', 'plac', 'si', 'prenon', 'trop', 'tardiv']",fear,joy
J'en avais la chair de poule,"['chair', 'poul']",fear,disgust
Il a failli se faire renverser par une voiture qui a grillé le feu rouge,"['a', 'faill', 'fair', 'renvers', 'voitur', 'a', 'grill', 'feu', 'roug']",fear,surprise
Je ne pensais pas qu'il allait venir,"['ne', 'pens', 'pas', 'allait', 'ven']",surprise,fear
La météo annonçait de la pluie mais il a finalement fait un temps superbe,"['meteo', 'annonc', 'plui', 'a', 'final', 'fait', 'temp', 'superb']",surprise,surprise
j'étais persuadé d'avoir raté mais j'ai finalement été accepté !,"['etais', 'persuad', 'avoir', 'rat', 'final', 'ete', 'accept']",surprise,surprise
La guerre en Syrie a déclenché une crise des réfugiés,"['guerr', 'syr', 'a', 'declench', 'cris', 'refug']",sadness,surprise
Putain quelle journée de merde hier,"['putain', 'quel', 'journe', 'merd', 'hi']",anger,disgust
La polémique n'en finit plus et le calme tarde à revenir,"['polem', 'n', 'fin', 'plus', 'calm', 'tard', 'a', 'reven']",sadness,joy
Pourquoi faire cela ? C'est étrange,"['pourquoi', 'fair', 'cel', 'etrang']",surprise,surprise
c’est toujours gratifiant. C’est un partenaire très fort.,"['toujour', 'gratifi', 'partenair', 'tre', 'fort']",joy,no_emotion
Le rouge vous va à ravir,"['roug', 'va', 'a', 'rav']",joy,surprise
Restez comme vous êtes :),"['rest', 'comm', 'ete']",joy,joy
 il crie sa colère et refuse le #5ememandat de Bouteflika.,"['cri', 'coler', 'refus', '5ememandat', 'bouteflik']",anger,surprise
"abat le système, abat un président inopérant, affaibli .","['abat', 'system', 'abat', 'president', 'inoper', 'affaibl']",disgust,disgust
Cela a suscité beaucoup de réactions inappropriées,"['cel', 'a', 'suscit', 'beaucoup', 'reaction', 'inapproprie']",disgust,disgust
tu es stupide ,['stupid'],disgust,disgust
Les manifestants qui protègent la police,"['le', 'manifest', 'protegent', 'polic']",fear,fear
"Merci à tous, à tous ceux qui sont là, peu importe l'heure, le temps, les résultats. Merci à vous. ","['merc', 'a', 'tous', 'a', 'tous', 'ceux', 'peu', 'import', 'heur', 'temp', 'le', 'resultat', 'merc', 'a']",joy,disgust
Et on t’emmerde ,['emmerd'],anger,no_emotion
Ton tatouage est incroyable !,"['tatouag', 'incroi']",surprise,surprise
"""Le peuple veut en finir""","['peupl', 'veut', 'fin']",disgust,fear
MERCI d'être là tous les jours pour m'accompagner dans cette quête sans fin !,"['merc', 'etre', 'tous', 'le', 'jour', 'accompagn', 'cet', 'quet', 'san', 'fin']",joy,fear
"vous êtes doux, beaux, gentils, bienveillants, polis, classes !","['ete', 'doux', 'beau', 'gentil', 'bienveil', 'pol', 'class']",joy,surprise
Et on t’emmerde ,['emmerd'],disgust,no_emotion
 vous êtes une personne extraordinaire ,"['ete', 'person', 'extraordinair']",joy,surprise
Marre de toutes ses journées à la con,"['marr', 'tout', 'journe', 'a', 'con']",anger,anger
Quand on te fait un compliment à la sortie de chez le coiffeur ,"['quand', 'fait', 'compl', 'a', 'sort', 'chez', 'coiffeur']",joy,surprise
Plus beau compliment au monde ,"['plus', 'beau', 'compl', 'mond']",joy,surprise
"Merci la France de m’avoir ouvert vos bras, de m’accueillir, me protéger, et me donner des droits pour vivre libre. ","['merc', 'franc', 'avoir', 'ouvert', 'bras', 'accueil', 'proteg', 'don', 'droit', 'vivr', 'libr']",joy,joy
Je déteste les tomates,"['detest', 'le', 'tomat']",disgust,disgust
Il faut attendre maintenant,"['faut', 'attendr', 'mainten']",fear,surprise
J'ai peur du noir,"['peur', 'noir']",fear,surprise
J'adore marcher dans le sable,"['ador', 'march', 'sabl']",joy,surprise
T'es vraiment la meilleure,"['vrai', 'meilleur']",joy,joy
Je suis aux anges après avoir été au Maroc,"['ange', 'apre', 'avoir', 'ete', 'maroc']",joy,surprise
"Devant ce serpent, il est devenu blême","['dev', 'serpent', 'devenu', 'blem']",fear,surprise
Il est encore une fois sorti de ses gonds et a commencé à crier,"['encor', 'fois', 'sort', 'gond', 'a', 'commenc', 'a', 'cri']",anger,surprise
Alors nos amis vous allez bien,"['alor', 'amis', 'allez', 'bien']",joy,joy
Gloire à l'olympique de marseille,"['gloir', 'a', 'olymp', 'marseil']",joy,no_emotion
"Je suis super surprise, félicitations","['sup', 'surpris', 'felicit']",surprise,surprise
MAGNIFIQUE,['magnif'],joy,surprise
hein ?,['hein'],surprise,no_emotion
trop heureux ce soir,"['trop', 'heureux', 'soir']",joy,disgust
Je vous souhaite une excellente soirée et à l’année prochaine ,"['souhait', 'excellent', 'soire', 'a', 'anne', 'prochain']",joy,surprise
Comment osez vous ?,"['comment', 'osez']",surprise,no_emotion
Vous devriez avoir honte,"['devr', 'avoir', 'hont']",disgust,sadness
Peu importe le problème vient des journalistes,"['peu', 'import', 'problem', 'vient', 'journal']",anger,surprise
Tension sur le plateau,"['tension', 'plateau']",anger,anger
"Patrick Cohen, l’homme indigné, ramené à son statut de supplétif macroniste. ","['patrick', 'cohen', 'homm', 'indign', 'ramen', 'a', 'statut', 'supplet', 'macron']",disgust,disgust
Je suis choqué,['choqu'],surprise,surprise
soutien total à toute l'équipe,"['soutien', 'total', 'a', 'tout', 'equip']",joy,no_emotion
Où va le monde ?,"['va', 'mond']",fear,no_emotion
Dupont-Aignan en pleine diffamation tranquille contre Patrick Cohen,"['dupont', 'aignan', 'plein', 'diffam', 'tranquill', 'contr', 'patrick', 'cohen']",disgust,anger
C'est du délire tout cela,"['delir', 'tout', 'cel']",disgust,anger
dehors !!,['dehor'],anger,no_emotion
grand guignol,"['grand', 'guignol']",disgust,no_emotion
Ras le bol de lui !,"['ras', 'bol']",anger,no_emotion
Un imitation …. Surprenante,"['imit', 'surpren']",surprise,surprise
émue aux larmes,"['emu', 'larm']",sadness,disgust
Lucchini totalement ébloui par Maomi Campbell,"['lucchin', 'total', 'eblou', 'maom', 'campbel']",joy,anger
elle est vraiment époustouflante ! ,"['vrai', 'epoustoufl']",joy,no_emotion
il y a une urgence,"['a', 'urgenc']",fear,sadness
La menace terroriste est omniprésente,"['menac', 'terror', 'omnipresent']",fear,surprise
Quel dégât !,"['quel', 'degat']",disgust,anger
Bravo aux élèves,"['bravo', 'elev']",joy,no_emotion
Je n'en peux plus des horreurs de ce monde ! ,"['n', 'peux', 'plus', 'horreur', 'mond']",disgust,disgust
Le climat actuel est glaçant,"['climat', 'actuel', 'glac']",fear,surprise
Cela fait froid dans le dos,"['cel', 'fait', 'froid', 'dos']",fear,sadness
Très bonne nouvelle pour tout ceux qui luttent pour un meilleur accès à l'eau,"['tre', 'bon', 'nouvel', 'tout', 'ceux', 'luttent', 'meilleur', 'acce', 'a', 'eau']",joy,joy
Quelle tristesse …,"['quel', 'tristess']",sadness,fear
"Quel dommage, il est parti trop tôt","['quel', 'dommag', 'part', 'trop', 'tot']",sadness,joy
C'est une bien triste nouvelle que j'apprends,"['bien', 'trist', 'nouvel', 'apprend']",sadness,joy
Sincères condoléances,"['sincer', 'condole']",sadness,surprise
Nos pensées sont avec toi en ces jours difficiles,"['pense', 'jour', 'difficil']",sadness,sadness
Je vous souhaite bon courage,"['souhait', 'bon', 'courag']",sadness,surprise
C'est avec une grande émotion que j'ai appris cette très triste nouvelle,"['grand', 'emot', 'appris', 'cet', 'tre', 'trist', 'nouvel']",sadness,fear
Ce stack est vraiment savoureux,"['stack', 'vrai', 'savour']",joy,joy
"La rue est vraiment incertaine, mieux vaut faire attention","['ru', 'vrai', 'incertain', 'mieux', 'vaut', 'fair', 'attent']",fear,fear
Quel secret ! Comment le deviner ?,"['quel', 'secret', 'comment', 'devin']",surprise,surprise
"C'est arrivé si vite, quelle surprise !","['arriv', 'si', 'vit', 'quel', 'surpris']",surprise,surprise
Mais non ? Comment cela ?,"['non', 'comment', 'cel']",surprise,sadness
imagine ca il y a dix ans,"['imagin', 'ca', 'a', 'dix', 'an']",surprise,no_emotion
Un documentaire glaçant,"['documentair', 'glac']",fear,sadness
"Selon lui, les journalistes sont tous pourris","['selon', 'le', 'journal', 'tous', 'pourr']",digust,sadness
"la tête, ça va pas","['tet', 'ca', 'va', 'pas']",disgust,fear
Quel pays ! ,"['quel', 'pay']",surprise,joy
"On veut qu'il dégage, tout simplement","['veut', 'degag', 'tout', 'simpl']",anger,no_emotion
Les élections en Algérie sont une mascarade,"['le', 'elect', 'alger', 'mascarad']",disgust,surprise
"Chaque fois que je rentre chez moi, j'ai vraiment peur que quelque chose m'arrive","['chaqu', 'fois', 'rentr', 'chez', 'vrai', 'peur', 'quelqu', 'chos', 'arriv']",fear,surprise
Et pourquoi pas ?,"['pourquoi', 'pas']",surprise,fear
Pourquoi a t il abandonné son chien ?,"['pourquoi', 'a', 'abandon', 'chien']",sadness,fear
